accounts,2025_1,2024_4,2024_3,2024_2,2024_1,2023_4,2023_3,code
Free Cash Flow,-74870000.0,220252000.0,315429000.0,355809000.0,287190000.0,,,ADRO.JK
Repurchase Of Capital Stock,-48576000.0,-70667000.0,0.0,0.0,-18711000.0,,,ADRO.JK
Repayment Of Debt,-27942000.0,-1008891000.0,-152905000.0,-173198000.0,-15200000.0,,,ADRO.JK
Issuance Of Debt,99872000.0,837262000.0,251372000.0,4217000.0,57702000.0,,,ADRO.JK
Capital Expenditure,-155758000.0,-249437000.0,-197987000.0,-187954000.0,-202088000.0,,,ADRO.JK
End Cash Position,1184202000.0,1405918000.0,3200830000.0,2793958000.0,3163835000.0,,,ADRO.JK
Beginning Cash Position,1405918000.0,3200830000.0,2793958000.0,3163835000.0,3311232000.0,,,ADRO.JK
Effect Of Exchange Rate Changes,-9595000.0,-37647000.0,46933000.0,-27215000.0,-14583000.0,,,ADRO.JK
Changes In Cash,-212121000.0,-76211000.0,359939000.0,-342662000.0,-132814000.0,,,ADRO.JK
Financing Cash Flow,-191203000.0,-2586445000.0,53087000.0,-691963000.0,-416868000.0,,,ADRO.JK
Net Other Financing Charges,-7903000.0,,,,,15709000.0,0.0,ADRO.JK
Cash Dividends Paid,-200000000.0,-2629396000.0,0.0,-400000000.0,-400000000.0,,,ADRO.JK
Common Stock Dividend Paid,-200000000.0,-2629396000.0,0.0,-400000000.0,-400000000.0,,,ADRO.JK
Net Common Stock Issuance,-48576000.0,201499000.0,0.0,0.0,-18711000.0,,,ADRO.JK
Common Stock Payments,-48576000.0,-70667000.0,0.0,0.0,-18711000.0,,,ADRO.JK
Net Issuance Payments Of Debt,71930000.0,-171629000.0,98467000.0,-168981000.0,42502000.0,,,ADRO.JK
Net Long Term Debt Issuance,71930000.0,-171629000.0,98467000.0,-168981000.0,42502000.0,,,ADRO.JK
Long Term Debt Payments,-27942000.0,-1008891000.0,-152905000.0,-173198000.0,-15200000.0,,,ADRO.JK
Long Term Debt Issuance,99872000.0,837262000.0,251372000.0,4217000.0,57702000.0,,,ADRO.JK
Investing Cash Flow,-101806000.0,2040545000.0,-206564000.0,-194462000.0,-205224000.0,,,ADRO.JK
Net Other Investing Changes,-4784000.0,53467000.0,6145000.0,-3760000.0,-677000.0,,,ADRO.JK
Dividends Received Cfi,,0.0,24000.0,,,0.0,18525000.0,ADRO.JK
Net Investment Purchase And Sale,0.0,-843000.0,-5473000.0,-13703000.0,1041000.0,,,ADRO.JK
Sale Of Investment,0.0,5475000.0,8456000.0,1994000.0,1111000.0,,,ADRO.JK
Purchase Of Investment,0.0,-6318000.0,-13929000.0,-15697000.0,-70000.0,,,ADRO.JK
Net Business Purchase And Sale,-3820000.0,2181049000.0,-8506000.0,,,-529000.0,-2473000.0,ADRO.JK
Sale Of Business,1086000.0,,,,,,,ADRO.JK
Purchase Of Business,-4906000.0,0.0,-8506000.0,,,-529000.0,-2473000.0,ADRO.JK
Net Intangibles Purchase And Sale,,-350000.0,-124000.0,-228000.0,-179000.0,-909000.0,,ADRO.JK
Purchase Of Intangibles,,-350000.0,-124000.0,-228000.0,-179000.0,-909000.0,,ADRO.JK
Net PPE Purchase And Sale,-155275000.0,-246016000.0,-197606000.0,-187197000.0,-195568000.0,,,ADRO.JK
Sale Of PPE,483000.0,3071000.0,257000.0,529000.0,6341000.0,,,ADRO.JK
Purchase Of PPE,-155758000.0,-249087000.0,-197863000.0,-187726000.0,-201909000.0,,,ADRO.JK
Cash Flowsfromusedin Operating Activities Direct,80888000.0,469689000.0,513416000.0,543763000.0,489278000.0,,,ADRO.JK
Taxes Refund Paid Direct,-39040000.0,-40145000.0,-66303000.0,46723000.0,-156990000.0,,,ADRO.JK
Interest Received Direct,24785000.0,34653000.0,34742000.0,33802000.0,31451000.0,,,ADRO.JK
Interest Paid Direct,-14573000.0,-27240000.0,-21281000.0,-33547000.0,-13557000.0,,,ADRO.JK
Classesof Cash Payments,-274102000.0,-777959000.0,-945097000.0,-988776000.0,-869780000.0,,,ADRO.JK
Other Cash Paymentsfrom Operating Activities,-30480000.0,-221587000.0,-249004000.0,-317266000.0,-286716000.0,,,ADRO.JK
Paymentson Behalfof Employees,-68189000.0,-53357000.0,-60453000.0,-58963000.0,-118298000.0,,,ADRO.JK
Paymentsto Suppliersfor Goodsand Services,-175433000.0,-503015000.0,-635640000.0,-612547000.0,-464766000.0,,,ADRO.JK
Classesof Cash Receiptsfrom Operating Activities,383818000.0,1280380000.0,1511355000.0,1485561000.0,1498154000.0,,,ADRO.JK
Other Cash Receiptsfrom Operating Activities,1000.0,,4594000.0,893000.0,2145000.0,3178000.0,,ADRO.JK
Receiptsfrom Customers,383817000.0,1288012000.0,1506761000.0,1484668000.0,1496009000.0,,,ADRO.JK
Free Cash Flow,34749880000000.0,-22162068000000.0,25793413000000.0,16538347000000.0,29477358000000.0,,,BBCA.JK
Repayment Of Debt,-31260774000000.0,-22607617000000.0,-20226415000000.0,-17409118000000.0,-12436867000000.0,,,BBCA.JK
Issuance Of Debt,31829688000000.0,23380335000000.0,19532263000000.0,18278767000000.0,12096363000000.0,,,BBCA.JK
Capital Expenditure,-433471000000.0,-1799304000000.0,-1552563000000.0,-377060000000.0,-444252000000.0,,,BBCA.JK
End Cash Position,116032328000000.0,85482530000000.0,102859512000000.0,112175452000000.0,141161575000000.0,,,BBCA.JK
Beginning Cash Position,85482530000000.0,102859512000000.0,112175452000000.0,141161575000000.0,124395987000000.0,,,BBCA.JK
Effect Of Exchange Rate Changes,-330568000000.0,-1411205000000.0,1766075000000.0,-337609000000.0,-473752000000.0,,,BBCA.JK
Changes In Cash,30880366000000.0,-15965777000000.0,-11082015000000.0,-28648514000000.0,17239340000000.0,,,BBCA.JK
Financing Cash Flow,-2180000000.0,-4754295000000.0,105000000.0,-28382362000000.0,-192137000000.0,,,BBCA.JK
Net Other Financing Charges,-561095000000.0,636739000000.0,694257000000.0,-1206937000000.0,148367000000.0,,,BBCA.JK
Cash Dividends Paid,,-6163752000000.0,0.0,,,-5239190000000.0,0.0,BBCA.JK
Common Stock Dividend Paid,,-6163752000000.0,0.0,,,-5239190000000.0,0.0,BBCA.JK
Net Common Stock Issuance,-9999000000.0,,,,0.0,,,BBCA.JK
Net Issuance Payments Of Debt,568914000000.0,772718000000.0,-694152000000.0,869649000000.0,-340504000000.0,,,BBCA.JK
Net Long Term Debt Issuance,568914000000.0,772718000000.0,-694152000000.0,869649000000.0,-340504000000.0,,,BBCA.JK
Long Term Debt Payments,-31260774000000.0,-22607617000000.0,-20226415000000.0,-17409118000000.0,-12436867000000.0,,,BBCA.JK
Long Term Debt Issuance,31829688000000.0,23380335000000.0,19532263000000.0,18278767000000.0,12096363000000.0,,,BBCA.JK
Investing Cash Flow,-4300805000000.0,9151282000000.0,-38428096000000.0,-17181559000000.0,-12490133000000.0,,,BBCA.JK
Dividends Received Cfi,1439000000.0,6098000000.0,18029000000.0,,0.0,957000000.0,,BBCA.JK
Net Investment Purchase And Sale,-3869095000000.0,10942918000000.0,-36893709000000.0,-16820834000000.0,-12048175000000.0,,,BBCA.JK
Sale Of Investment,20587714000000.0,49602652000000.0,55032034000000.0,26996268000000.0,29646464000000.0,,,BBCA.JK
Purchase Of Investment,-24456809000000.0,-38659734000000.0,-91925743000000.0,-43817102000000.0,-41694639000000.0,,,BBCA.JK
Net PPE Purchase And Sale,-433149000000.0,-1797734000000.0,-1552416000000.0,-374693000000.0,-441958000000.0,,,BBCA.JK
Sale Of PPE,322000000.0,1570000000.0,147000000.0,2367000000.0,2294000000.0,,,BBCA.JK
Purchase Of PPE,-433471000000.0,-1799304000000.0,-1552563000000.0,-377060000000.0,-444252000000.0,,,BBCA.JK
Operating Cash Flow,35183351000000.0,-20362764000000.0,27345976000000.0,16915407000000.0,29921610000000.0,,,BBCA.JK
Cash Flowsfromusedin Operating Activities Direct,35183351000000.0,-20362764000000.0,27345976000000.0,16915407000000.0,29921610000000.0,,,BBCA.JK
Classesof Cash Payments,-62466069000000.0,-54745673000000.0,-57498460000000.0,-32801217000000.0,-48873432000000.0,,,BBCA.JK
Other Cash Paymentsfrom Operating Activities,-16257174000000.0,-2773454000000.0,-16162373000000.0,-10808749000000.0,-16911791000000.0,,,BBCA.JK
Paymentson Behalfof Employees,-887700000000.0,-1165422000000.0,0.0,0.0,-765000000000.0,,,BBCA.JK
Classesof Cash Receiptsfrom Operating Activities,97649420000000.0,34382909000000.0,84844436000000.0,49716624000000.0,78795042000000.0,,,BBCA.JK
Other Cash Receiptsfrom Operating Activities,10895182000000.0,1686304000000.0,2075806000000.0,5157256000000.0,6935371000000.0,,,BBCA.JK
