accounts,2025_1,2024_4,2024_3,2024_2,2024_1,2023_4,code
Tax Effect Of Unusual Items,-105444.172671,155534.602364,768231.295874,-868859.899891,233432.435376,,ADRO.JK
Tax Rate For Calcs,0.175448,0.157106,0.185787,0.169269,0.199857,,ADRO.JK
Normalized EBITDA,111683000.0,-830482000.0,561121000.0,572919000.0,552820000.0,,ADRO.JK
Total Unusual Items,-601000.0,990000.0,4135000.0,-5133000.0,1168000.0,,ADRO.JK
Total Unusual Items Excluding Goodwill,-601000.0,990000.0,4135000.0,-5133000.0,1168000.0,,ADRO.JK
Net Income From Continuing Operation Net Minority Interest,76697000.0,-721563000.0,404155000.0,404428000.0,374345000.0,,ADRO.JK
Reconciled Depreciation,847000.0,-354000.0,880000.0,1582000.0,1483000.0,,ADRO.JK
Reconciled Cost Of Revenue,271284000.0,-1490299000.0,929879000.0,949996000.0,815114000.0,,ADRO.JK
EBITDA,111082000.0,-829492000.0,565256000.0,567786000.0,553988000.0,,ADRO.JK
EBIT,110235000.0,-829492000.0,564376000.0,566204000.0,552505000.0,,ADRO.JK
Net Interest Income,26940000.0,15099000.0,18277000.0,16834000.0,15610000.0,,ADRO.JK
Interest Expense,4346000.0,-13016000.0,17224000.0,19602000.0,19963000.0,,ADRO.JK
Interest Income,32257000.0,-3338000.0,41092000.0,41651000.0,38813000.0,,ADRO.JK
Normalized Income,77192555.827329,-722397465.397636,400788231.295874,408692140.100109,373410432.435376,,ADRO.JK
Net Income From Continuing And Discontinued Operation,76697000.0,197085000.0,404155000.0,404428000.0,374345000.0,,ADRO.JK
Total Expenses,302129000.0,-1605010000.0,1005963000.0,1020989000.0,923105000.0,,ADRO.JK
Total Operating Income As Reported,76524000.0,-808100000.0,511414000.0,494462000.0,513625000.0,,ADRO.JK
Diluted Average Shares,30130946000.0,,,,30029087000.0,,ADRO.JK
Basic Average Shares,30130946000.0,,,,30029087000.0,,ADRO.JK
Diluted EPS,0.00255,,,,0.01247,,ADRO.JK
Basic EPS,0.00255,,,,0.01247,,ADRO.JK
Diluted NI Availto Com Stockholders,76697000.0,197085000.0,404155000.0,404428000.0,374345000.0,,ADRO.JK
Net Income Common Stockholders,76697000.0,197085000.0,404155000.0,404428000.0,374345000.0,,ADRO.JK
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,0.0,,ADRO.JK
Net Income,76697000.0,197085000.0,404155000.0,404428000.0,374345000.0,,ADRO.JK
Minority Interests,-10614000.0,-33360000.0,-41343000.0,-49651000.0,-51765000.0,,ADRO.JK
Net Income Including Noncontrolling Interests,87311000.0,230445000.0,445498000.0,454079000.0,426110000.0,,ADRO.JK
Net Income Discontinuous Operations,0.0,,,,,,ADRO.JK
Net Income Continuous Operations,87311000.0,-688203000.0,445498000.0,454079000.0,426110000.0,,ADRO.JK
Tax Provision,18578000.0,-128273000.0,101654000.0,92523000.0,106432000.0,,ADRO.JK
Pretax Income,105889000.0,-816476000.0,547152000.0,546602000.0,532542000.0,,ADRO.JK
Other Non Operating Income Expenses,425000.0,-20298000.0,10731000.0,-5000.0,-348000.0,,ADRO.JK
Special Income Charges,-601000.0,4800000.0,-1452000.0,-3356000.0,1168000.0,,ADRO.JK
Other Special Charges,601000.0,-4800000.0,1452000.0,3356000.0,-1168000.0,,ADRO.JK
Net Non Operating Interest Income Expense,26940000.0,15099000.0,18277000.0,16834000.0,15610000.0,,ADRO.JK
Total Other Finance Cost,971000.0,-5421000.0,5591000.0,5215000.0,3240000.0,,ADRO.JK
Interest Expense Non Operating,4346000.0,-13016000.0,17224000.0,19602000.0,19963000.0,,ADRO.JK
Interest Income Non Operating,32257000.0,-3338000.0,41092000.0,41651000.0,38813000.0,,ADRO.JK
Operating Income,79490000.0,-767978000.0,472879000.0,509030000.0,519711000.0,,ADRO.JK
Operating Expense,30845000.0,-114711000.0,76084000.0,70993000.0,107991000.0,,ADRO.JK
Other Operating Expenses,,-49808000.0,12138000.0,11034000.0,21657000.0,-61638000.0,ADRO.JK
Depreciation And Amortization In Income Statement,847000.0,-354000.0,880000.0,1582000.0,1483000.0,,ADRO.JK
Depreciation Income Statement,847000.0,-354000.0,880000.0,1582000.0,1483000.0,,ADRO.JK
Selling General And Administration,7268000.0,-64545000.0,47691000.0,41592000.0,31994000.0,,ADRO.JK
Selling And Marketing Expense,1121000.0,-37688000.0,15630000.0,17292000.0,14804000.0,,ADRO.JK
General And Administrative Expense,6147000.0,-26857000.0,32061000.0,24300000.0,17190000.0,,ADRO.JK
Gross Profit,110335000.0,-882689000.0,548963000.0,580023000.0,627702000.0,,ADRO.JK
Cost Of Revenue,271284000.0,-1490299000.0,929879000.0,949996000.0,815114000.0,,ADRO.JK
Total Revenue,381619000.0,-2372988000.0,1478842000.0,1530019000.0,1442816000.0,,ADRO.JK
Operating Revenue,381619000.0,-2372988000.0,1478842000.0,1530019000.0,1442816000.0,,ADRO.JK
Tax Effect Of Unusual Items,33912459667.01234,53179146816.38924,44802847153.44484,66361155984.81748,26651513615.966393,,BBCA.JK
Tax Rate For Calcs,0.189547,0.207708,0.193677,0.191162,0.190796,,BBCA.JK
Total Unusual Items,178913000000.0,256029000000.0,231328000000.0,347146000000.0,139686000000.0,,BBCA.JK
Total Unusual Items Excluding Goodwill,178913000000.0,256029000000.0,231328000000.0,347146000000.0,139686000000.0,,BBCA.JK
Net Income From Continuing Operation Net Minority Interest,14146131000000.0,13762442000000.0,14197679000000.0,13996698000000.0,12879486000000.0,,BBCA.JK
Reconciled Depreciation,650240000000.0,604113000000.0,543947000000.0,442028000000.0,521228000000.0,,BBCA.JK
Net Interest Income,21624437000000.0,21922905000000.0,21561117000000.0,20629395000000.0,20247369000000.0,,BBCA.JK
Interest Expense,2549372000000.0,2483585000000.0,2525463000000.0,2330675000000.0,2545542000000.0,,BBCA.JK
Interest Income,24173809000000.0,24406490000000.0,24086580000000.0,22960070000000.0,22792911000000.0,,BBCA.JK
Normalized Income,14001130459667.012,13559592146816.389,14011153847153.445,13715913155984.818,12766451513615.967,,BBCA.JK
Net Income From Continuing And Discontinued Operation,14146131000000.0,13762442000000.0,14197679000000.0,13996698000000.0,12879486000000.0,,BBCA.JK
Diluted Average Shares,123274978222.0,,,,123275050000.0,,BBCA.JK
Basic Average Shares,123274978222.0,,,,123275050000.0,,BBCA.JK
Diluted EPS,115.0,,,,104.0,,BBCA.JK
Basic EPS,115.0,,,,104.0,,BBCA.JK
Diluted NI Availto Com Stockholders,14146131000000.0,13762442000000.0,14197679000000.0,13996698000000.0,12879486000000.0,,BBCA.JK
Net Income Common Stockholders,14146131000000.0,13762442000000.0,14197679000000.0,13996698000000.0,12879486000000.0,,BBCA.JK
Net Income,14146131000000.0,13762442000000.0,14197679000000.0,13996698000000.0,12879486000000.0,,BBCA.JK
Minority Interests,-859000000.0,-943000000.0,-12711000000.0,-2294000000.0,979000000.0,,BBCA.JK
Net Income Including Noncontrolling Interests,14146990000000.0,13763385000000.0,14210390000000.0,13998992000000.0,12878507000000.0,,BBCA.JK
Net Income Continuous Operations,14146990000000.0,13763385000000.0,14210390000000.0,13998992000000.0,12878507000000.0,,BBCA.JK
Tax Provision,3308672000000.0,3608211000000.0,3413298000000.0,3308545000000.0,3036522000000.0,,BBCA.JK
Pretax Income,17455662000000.0,17371596000000.0,17623688000000.0,17307537000000.0,15915029000000.0,,BBCA.JK
Special Income Charges,178913000000.0,256029000000.0,231328000000.0,347146000000.0,139686000000.0,,BBCA.JK
Write Off,-178913000000.0,-256029000000.0,-231328000000.0,-347146000000.0,-139686000000.0,,BBCA.JK
Gain On Sale Of Security,759175000000.0,-78696000000.0,866873000000.0,527268000000.0,337623000000.0,,BBCA.JK
Operating Expense,10214930000000.0,11315618000000.0,9826745000000.0,9134809000000.0,9972748000000.0,,BBCA.JK
Other Operating Expenses,1122770000000.0,980677000000.0,1015040000000.0,804891000000.0,1231227000000.0,,BBCA.JK
Depreciation And Amortization In Income Statement,650240000000.0,604113000000.0,543947000000.0,442028000000.0,521228000000.0,,BBCA.JK
Amortization,50688000000.0,39885000000.0,39875000000.0,35902000000.0,34433000000.0,,BBCA.JK
Depreciation Income Statement,599552000000.0,564228000000.0,504072000000.0,406126000000.0,486795000000.0,,BBCA.JK
Selling General And Administration,2708789000000.0,4582705000000.0,3267602000000.0,2888726000000.0,2463716000000.0,,BBCA.JK
Selling And Marketing Expense,281836000000.0,660418000000.0,342776000000.0,350305000000.0,303779000000.0,,BBCA.JK
General And Administrative Expense,2426953000000.0,3922287000000.0,2924826000000.0,2538421000000.0,2159937000000.0,,BBCA.JK
Insurance And Claims,595644000000.0,606629000000.0,562597000000.0,577022000000.0,570177000000.0,,BBCA.JK
Rent And Landing Fees,256898000000.0,283173000000.0,358167000000.0,291515000000.0,210498000000.0,,BBCA.JK
Total Revenue,28667254000000.0,28361962000000.0,28397314000000.0,26832797000000.0,26763711000000.0,,BBCA.JK
Operating Revenue,28667254000000.0,28361962000000.0,28397314000000.0,26832797000000.0,26763711000000.0,,BBCA.JK
